"site","year","survey_area"
"e19h205f1216",1963,105
"37784u8v714e",1963,200
"01509xj6j0rb",1963,36695
"rvlv60619p7t",1963,300
"w5rxij47u420",1963,43280
"t4i772j119ku",1963,3120
"r963gzn54da1",1963,1088
"752ybm10b46r",1963,150
"k8ko3467cl48",1963,31000
"7363z2929085",1963,128858
"bdf7a0408t4y",1963,78643
"1al4hc4485nx",1963,119377
"a4ucsp402h19",1963,149319
"xo6fde3ef843",1963,117714
"pe025fi0wm13",1963,138400
"74ii83d63xz0",1963,118996
"d110w042hexu",1963,100
"567a9e1mb3zt",1963,2596
"57z710a490q2",1963,2113
"44d1qumfjkcy",1963,802
"7mpiwx2iaa95",1963,88
"5pfq04t202r1",1963,422
"9fw2c32g32f0",1963,212
"xekycd8f4684",1963,5726
"bn02kvf55h04",1963,3800
"9vq589y3e7g2",1963,21869
"8x1z1t77473z",1963,191
"87995i9l448a",1963,4759
"y8i9fx7sr7nd",1963,150
"057jule1x010",1963,2223
"5xqe6hr66a9z",1963,16300
"q4ko6885wymh",1963,400
"z67f038c4104",1963,2753
"d8wu9nlf8z85",1963,8268
"54p3f2618vow",1963,81056
"61nxt86l6311",1963,18400
"239113mmx3qm",1963,3528
"3tk0xp04bkgt",1963,6984
"axaq0z3pr99b",1963,2200
"46s31l89089m",1963,3975
"iw22201zicd2",1963,347
"8s22anrd4n1e",1963,3520
"0u3q6ihvq724",1963,956
"58uz6x9y297j",1963,909
"7s98f306170z",1963,946
"ij88a5vpejj9",1963,1300
"w38fy716ih92",1963,850
"9vgos6bk6007",1963,510
"xg08q3539c0l",1963,10000
"e1m98s54qf66",1963,44
"8tfe0kuun41a",1963,1117
"31o5qgpvqhfh",1963,2730
"bb4879r85066",1963,200
"obpjy64z8281",1963,3366
"c81m5r5fc549",1963,3560
"1o50u139ri6c",1963,306
"9k721o19rw56",1963,250
"xx191m74913n",1963,16000
"8766675it91c",1963,26036
"14419cj0p40j",1963,1800
"k8i20047s76f",1963,2200
"59i3866a2857",1963,3300
"7hiy409me306",1963,24985
"26hc4ur390i6",1963,1633
"75n75x7c06ft",1963,3500
"4d4cpmxoa8h0",1963,1840
"1jib72tqs6hh",1963,1884
"lx3r0699ax6o",1963,4570
"v91cez42p84p",1963,10864
"op6g2h3tl4m4",1963,2409
"395416c88uh3",1963,5098
"p8v4m7hdiy50",1963,4591
"58sl1a45d9gl",1963,2180
"mm878prvv001",1963,4167
"w2t63412qw72",1963,963
"vnkbaqog493w",1963,2340
"20134den6aws",1963,6052
"338gr1d991sp",1963,300
"8gs60480429k",1963,4740
"m6y1oe51x2a6",1963,3000
"8dl60ulcgxk6",1963,62058
"c7kiy01d1130",1963,3628
"k1r62427156w",1963,241
"l9ya7mqm6ol4",1963,5860
"09t5i0i81l16",1963,2000
"yd63yx817g5g",1963,2855
"xp6wk1d3800m",1963,1715
"0qaf4s1398xu",1963,400
"khyeb99o5987",1963,5600
"3yi5edstc9o9",1963,518
"yv47a8c51834",1963,1600
"nxbseaw04sex",1963,94857
"6mf978v2eaa5",1963,6954
"42u9324r20z2",1963,75
"29nl6z8jy7c7",1963,9504
"6h1osqpfd4gr",1963,15284
"d654ga0yr66t",1963,240024
"3o0w40vc9785",1963,10400
"3r26cl9s49g7",1963,51269
"agetn23vqa1r",1963,2250
"5272z5h51op4",1963,35000
"2413jo2i3c70",1963,1250
"18vmlu8an4j7",1963,5232
"f947fc989b73",1963,12326
"9z52f5v1p09p",1963,10000
"ccx8qr689jna",1963,2316
"8j09p5y1zim6",1963,548
"y93hs16a168r",1963,140
"2r8z6vkfq469",1963,1802
"qcuqsfzii1i7",1963,375
"7d1q1uck4y59",1963,1010
"z6o19la7m862",1963,986
"7m12qniutsl7",1963,7000
"gj7pe7o0nfgj",1963,11062
"i2zp1lo4dy2g",1963,3708
"22eeh71v5qo4",1963,6641
"bx6vlqgnaf7g",1963,2100
"83z2jw5i5n63",1963,2075
"o08mkhpw8257",1963,3240
"z58l54v677pg",1963,10000
"06936av50vn9",1963,3815
"7a9bx8i15b2a",1963,800
"b2z20xstozf4",1963,1104
"whrk8elgy260",1963,4000
"ji17dbb3l256",1963,195
"710ykuiq306y",1963,185
"w4hb3969ih7d",1963,14928
"2595vl1kdl8d",1963,6700
"x724h75f6sq1",1963,3816
"j8k16gm2mub9",1963,3605
"b7mxe94hl04k",1963,9770
"h8qbxm49agtq",1963,14500
"jqfkyi8qw795",1963,7027
"e6h983v53052",1963,21347
"8z36bf06m30k",1963,12492
"tih2963drg25",1963,21282
"n226556c3g5f",1963,762
"74q1lv8wssy8",1963,2957
"19k7yuy4ux2d",1963,77
"z82ts4v4fva7",1963,71
"em50ct9qzu3p",1963,230
"0pen8h7q2000",1963,120
"195u77b9lw7t",1963,30
"pq413k5f026o",1963,126
"82b10a5i4rz9",1963,220
"27490fpfs1d8",1963,120
"87hn2s9n26fx",1963,965
"z6ywz82gee7h",1963,939
"5lv91k7h1ot5",1963,297
"29i8t7b2iw9a",1963,45
"72uzn6b5445j",1963,120
"16e5t67tm979",1963,190
"pm49qcxf5u72",1963,722
"u0bi42j669ki",1963,300
"0gd3kz8n8871",1963,7340
"kxd2y018z3qa",1963,80
"13oq1g7i2809",1963,158
"8q6j1cxgmmhv",1963,75
"h8393etpu2et",1963,400
"13sknyi2o1g1",1963,30
"puybv7t4brp2",1963,80
"9nk8f9un3hpa",1963,750
"4bz1t8ph45p1",1963,15
"av8rx9322vkp",1963,75
"3321s6t0t6h7",1963,165
"2kxpq81rx392",1963,228
"c79g5122qz6d",1963,279
"cgc1199214of",1963,380
"cnrojdj6a297",1963,400
"594py9vi042b",1963,40
"0r061va225jz",1963,22
"4gi06j31l64x",1963,400
"g6ex25efroem",1963,45
"lz2v28398yma",1963,800
"94obt64qk449",1963,80
"am434obdn776",1963,25
"6262bo8j6v54",1963,245
"w104i20wq078",1963,79
"lcf2i1a467h1",1963,21
"f11eg10069q5",1963,30
"7k24i0i02aj9",1963,41
"laxq764ifh5x",1963,135
"4qbv94adg57y",1963,580
"8p2e31d5ti99",1963,119
"01u6jbked65h",1963,25
"4q28o97qx290",1963,68
"f3zj9wb4p22e",1963,40
"20p2w5kv6o62",1963,74
"a8l1wx0qgm31",1963,320
"jtmy17c8p418",1963,300
"o50y4d2292qr",1963,60
"vsgeciujoe8x",1963,650
"5jy2rup4z439",1963,20
"94q86g6446gx",1963,299
"36piy3i72j81",1963,250
"v6v63jo2z0ud",1963,75
"8k9891awc72j",1963,600
"0ds0lht2250l",1963,619
"2g332yg5700d",1963,75
"04uos6mzb0r2",1963,45
"cfeylly1z62s",1963,144
"a7uahoct9h43",1963,350
"7ba3eqnn2v3a",1963,115
"0n85e3d7k7w9",1963,255
"5d44kynnj0fw",1963,7
"oeb782tr5994",1963,127
"2918q0y784p9",1963,154
"h8c5w8bdb5me",1963,62
"71n40t4338uy",1963,4250
"35a947ny23om",1963,57
"me72dsz3yas3",1963,2344
"l36y8o36xjnc",1963,3450
"z02s32k3vavm",1963,840
"30gsv6z1k661",1963,22500
"7z1l28oxuj8z",1963,7780
"ziw8v413k6e0",1963,17
"ll0s4tlgy5su",1963,1500
"1039kcyyo8c9",1963,4092
"575n3opv96w5",1963,320
"2xvi5111t0w2",1963,8930
"867i1a4yc4m2",1963,1920
"zsyfeyxcpy3x",1963,2700
"c8un2o4f0mr4",1963,13340
"m8ymj8821v82",1963,4840
"5aa3ak095m90",1963,66
"vg64dj2cyb1d",1963,1910
"51lv747zly3t",1963,3420
"5tv313927b55",1963,3370
"34dkc32t2q0e",1963,2500
"4eso4x6f89q9",1963,17350
"1127ox8ju84t",1963,540
"8v6ycdlbr4ku",1963,194
"7u0iz8wy3gss",1963,4460
"8yxm7s17wxkk",1963,2020
"ixjr1z081k8v",1963,1500
"n34ot047ep69",1963,10
"q3y260fxdjzz",1963,7383
"w619qt4k33oo",1963,5276
"3yz30y70h5pg",1963,9420
"06v0789lb2zy",1963,7274
"b76o314da81e",1963,1684
"v0863o230272",1963,3842
"bv32j106e132",1963,2760
"ve8cnx28e99c",1963,2895
"54v1i67x13ce",1963,1275
"4vnl38lwrzy7",1963,1237
"4i0wn3v539cb",1963,610
"8ua83gx55005",1963,895
"xf421u476j87",1963,1800
"fm7797i3ugfr",1963,1900
"15ur2949hpuc",1963,3822
"f04ycvd2n0an",1963,945
"2aa51to25700",1963,10000
"52ful2qqv3kx",1963,4964
"ikxq10dhr67m",1963,1442
"o6j1n23p5p48",1963,642
"s2s15zqtwrqm",1963,60
"73d8o701mgs2",1963,14540
"x9ga4kn0a3s6",1963,3220
"wnpb51toxs9g",1963,287
"3889glg81t5x",1963,543
"xe49rl7596a6",1963,222
"asqcbonw3z44",1963,175
"0xedxp7l677i",1963,424
"i56l39f71b7h",1963,327
"48det8im56mc",1963,291
"8k3u86m4m9c1",1963,3110
"m131y1qve71n",1963,4399
"w6m73b21osk7",1963,400
"lt5x10awa313",1963,1370
"7874kp20371y",1963,617
"7s6y9vo12y08",1963,337
"pqxok33tl0da",1963,2344
"c1un7n81k1gf",1963,3082
"95784l678bx5",1963,10000
"i86cj07b52jj",1963,653
"4vs8x9dg3a93",1963,11720
"e8g242102837",1963,3213
"xg4f980xypcr",1963,2488
"1b0v07387p6c",1963,568
"8wa8yt9sphdo",1963,628
"oixvsmz11357",1963,259
"3wrphca2793v",1963,2640
"wv5f4py2z507",1963,562
"35l45reua3h6",1964,1321
"u5aqq75407q1",1964,1180
"3vo02p9y9ffo",1964,1908
"j102tfx4c9mo",1964,1883
"r648fq8q089n",1964,2740
"ca91g2y2wwk6",1964,2639
"53qv184358za",1964,5040
"5kc5x457o117",1964,4170
"wc6we80j6544",1964,1143
"8es4645kr4gr",1964,420
"em60bf5343m5",1964,1204
"zls7397e8m8o",1964,880
"16r4i43f662z",1964,217
"3339g0472107",1964,192
"2z5klzwk3k99",1964,560
"18dppfz2i120",1964,806
"u68u42np4465",1964,82
"zcw4g21o36f9",1964,2290
"xgub5puczime",1964,600
"0537rny37gz6",1964,5500
"0556un4m3g49",1964,17600
"22g8th7d50e8",1964,4000
"51706ev253of",1964,756
"i2b9y2drxhm5",1964,426
"09g38vp0z2qb",1964,2330
"qkm6n7u8o41h",1964,3678
"xj1r97odyg26",1964,374
"k9g932455y2g",1964,364
"41vh67u8385s",1964,748
"d5760qivd98z",1964,882
"8l160r6404m7",1964,884
"m50240h34uvz",1964,5260
"1ze1418x81ei",1964,1250
"fhl9016ob03f",1964,1985
"3kxbnr33m7sc",1964,6006
"g984yu1j5zx5",1964,1433
"vib7m5kh8y3x",1964,1425
"1dfcb7sbt3t0",1964,850
"d90nxj74e72n",1964,676
"8115pqw0ogge",1964,9242
"57k7tjh3vl6x",1964,1815
"4676n6ba3qxm",1964,633
"z8z1qpk0qk36",1964,2425
"f725d6f62pzr",1964,5792
"ttts416x5ioc",1964,1029
"0821465515t8",1964,1587
"d3yx7bog6pa8",1964,11415
"3u3w2f883m45",1964,7275
"31ns772n9co7",1964,4219
"0b3701448318",1964,445
"0l7fisr39q0b",1964,5051
"jumbw071d31e",1964,2515
"16zb00uelhio",1964,4228
"nl1gn396xl3b",1964,2290
"fl4q7a7y1651",1964,1457
"31132j36z358",1964,2669
"q0cnnphn8ucw",1964,883
"1352q8810qw5",1964,16186
"891r763nq7xp",1964,3962
"666622o5g4yx",1964,14539
"ch33895eoc06",1964,1025
"t1gy3dr85r9m",1964,135
"1056xr4o5vx4",1964,200
"ji7dh8f166ew",1964,389
"6spks962dfbc",1964,88
"494hcl8rbg10",1964,11500
"r4216y035uqn",1964,126
"tbe46625pq0l",1964,389
"84uhn1sw2459",1964,536
"q6i3opp2o0lg",1964,2229
"86nl4u660a0g",1964,600
"2l53f826lw93",1964,1300
"3466337108kw",1964,1024
"nhn4k20y8685",1964,213
"cy2t2p5ku5y3",1964,1000
"k2hob96or1xd",1964,340
"c92t434xce75",1964,950
"ope75n9qdgc0",1964,515
"257u2d7rkgt5",1964,1056
"x29o9m2f2jyu",1964,945
"7o02i4n7ehs7",1964,1338
"0s6r3am624v9",1964,1698
"z11p6l4n3q9i",1964,3500
"kuh8jv25pfh9",1964,4
"eu8g36ce07i8",1964,380
"jbw5x9xst5hc",1964,9550
"fn6gvj72t3gv",1964,5000
"agux16va6dj8",1964,6600
"735q974wj596",1964,62414
"203agjd708lm",1964,122444
"06kzly31jl86",1964,72532
"002l61113umj",1964,10800
"v9156643jmx6",1964,32006
"k6q242khr662",1964,30000
"6i919d5k2161",1964,68453
"o7vs3zv54fzx",1964,36000
"68514eb7xn6j",1964,32000
"j6kembyydz37",1964,141048
"o5u20f5o638b",1964,8000
"l25exhu5j9i7",1964,1200
"09680u023648",1964,2042
"v3ogx04043ac",1964,1332
"98x22lv066yg",1964,4339
"hzdh918cprfw",1964,2365
"4h63685kc676",1964,10485
"b2huj5q5t28g",1964,3475
"zia82cw5bt7w",1964,2337
"x6j4wy8t8wz9",1964,1510
"6p6vc267o414",1964,5000
"4t71ww4n7586",1964,1682
"s6wmj58ce90f",1964,161
"i852if25lrtj",1964,9320
"5129ei1960x0",1964,609
"hdn85b70kf54",1964,2083
"3q01nrz9822t",1964,473
"6cpvx44vhjp0",1964,2020
"1r99jy3bf6o2",1964,378
"m51l48808xe6",1964,1061
"wxfp73368jiy",1964,4967
"5so61rjzasn2",1964,509
"8kiy959ayfa8",1964,189
"606pev106w96",1964,290
"cdgr703l7mzw",1964,195
"x1w2518zrr85",1964,3478
"jg4xu2yj7fb1",1964,2035
"08f58395bhkj",1964,347
"ilio248tl8v3",1964,4840
"50w8a528op5f",1964,1370
"m8zf4xk6095m",1964,1123
"9216mrg2orhd",1964,330
"9dn36ky54w8k",1964,1342
"b0986hc4vyy0",1964,1292
"8d50vfn08hi0",1964,130
"m98hr8mmn2p3",1964,430
"76iy0v2rg8i8",1964,2200
